Trial run#,Sample size (each class),spatial size,histogram bins,feature vector,Training time,Accuracy
1,"8,792",64,32,"18,264",67.11,0.9881
2,"8,792",32,32,"9,048",48.27,0.9895
3,"8,792",16,32,"6,744",6.81,0.9906
4,"8,792",8,32,"6,168",28.64,0.9878
5,"8,792",16,64,"6,840",31.49,0.9889
6,"8,792",16,32,"6,744",30.18,0.9909
7,"8,792",16,16,"6,696",22.55,0.9886
8,"8,792",16,8,"6,672",32.72,0.9898
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
