Trial run#,Sample size (each class),colorspace,hog channel,orientation,pixel per cell,cell per block,feature vector,Training time,Accuracy
1,500,RGB,0,9,8,2,"1,764",0.08,0.985
2,500,HSV,0,9,8,2,"1,764",0.15,0.9
3,500,LUV,0,9,8,2,"1,764",0.07,1
4,500,HLS,0,9,8,2,"1,764",0.14,0.955
5,500,YUV,0,9,8,2,"1,764",0.06,0.995
6,500,YCrCb,0,9,8,2,"1,764",0.07,0.99
7,"8,792",LUV,0,9,8,2,"1,764",10.81,0.9528
8,"8,792",YUV,0,9,8,2,"1,764",13.76,0.9411
9,"8,792",YCrCb,0,9,8,2,"1,764",13.72,0.9485
10,"2,000",LUV,0,9,8,2,"1,764",3.05,0.9588
11,"2,000",YUV,0,9,8,2,"1,764",3.17,0.97
12,"2,000",YCrCb,0,9,8,2,"1,764",3.01,0.9575
13,"2,000",LUV,1,9,8,2,"1,764",3.2,0.975
14,"2,000",YUV,1,9,8,2,"1,764",4.48,0.9062
15,"2,000",YCrCb,1,9,8,2,"1,764",1.56,0.9425
16,"2,000",LUV,2,9,8,2,"1,764",3.94,0.93
17,"2,000",YUV,2,9,8,2,"1,764",4,0.9275
18,"2,000",YCrCb,2,9,8,2,"1,764",4.44,0.9
19,"2,000",LUV,all,9,8,2,"5,292",4.03,0.9262
20,"2,000",YUV,all,9,8,2,"5,292",1.53,0.9975
21,"2,000",YCrCb,all,9,8,2,"5,292",0.91,0.9931
22,"8,792",YUV,all,9,8,2,"5,292",30.39,0.9821
23,"8,792",YCrCb,all,9,8,2,"5,292",26.78,0.9838
24,"2,000",YCrCb,all,9,8,2,"5,292",0.88,0.9938
25,"2,000",YCrCb,all,10,8,2,"5,880",1.04,0.995
26,"2,000",YCrCb,all,11,8,2,"6,468",1.03,0.9975
27,"2,000",YCrCb,all,12,8,2,"7,056",1.5,0.995
28,"2,000",YCrCb,all,13,8,2,"8,792",1.28,0.9975
29,"8,792",YCrCb,all,8,8,2,"4,704",22.64,0.979
30,"8,792",YCrCb,all,9,8,2,"5,292",27.73,0.9812
31,"8,792",YCrCb,all,10,8,2,"5,880",15.21,0.9841
32,"8,792",YCrCb,all,11,8,2,"6,468",7.92,0.9835
33,"8,792",YCrCb,all,12,8,2,"7,056",7.56,0.9838
34,"8,792",YCrCb,all,13,8,2,"7,644",8.38,0.9821
35,"8,792",YCrCb,all,10,4,2,"27,000",132.99,0.9821
36,"8,792",YCrCb,all,10,8,2,"5,880",15.21,0.9841
37,"8,792",YCrCb,all,10,16,2,"1,080",3.52,0.9755
38,"8,792",YCrCb,all,10,8,1,"1,920",8.67,0.9818
39,"8,792",YCrCb,all,10,8,2,"5,880",15.21,0.9841
40,"8,792",YCrCb,all,10,8,3,"9,720",21.61,0.9821
41,"8,792",YCrCb,all,10,8,4,"12,000",35.82,0.9829
